X,delta0_4_s,delta0_4,delta0_4_real,omega0_4_s,omega0_4,omega_0_4_real
2.9664804469273744,0.01341614,0.01860566,0.014039996859498053,37.71141098,37.74651487,37.676455259199486
2.9916201117318435,0.01386988,0.01997023,0.013595399107829339,37.71635214,37.75096361,37.68631240328209
3.016759776536313,0.01380279,0.01962612,0.01339290799106394,37.72021406,37.75381011,37.69584159033799
3.0418994413407825,0.01435816,0.02106559,0.0134237024659126,37.72371405,37.75417886,37.70499434030704
3.0670391061452515,0.01509774,0.02252448,0.013678170252357874,37.7306125,37.75491636,37.7137274135451
3.0921787709497206,0.01601619,0.02400277,0.014145907833654128,37.73728259,37.75565386,37.7220028108241
3.11731843575419,0.01710683,0.02550047,0.014815720456327508,37.74367409,37.75639136,37.729787773332
3.1424581005586596,0.01836167,0.02701758,0.01567562213017602,37.74973767,37.75712886,37.73705478267279
3.1675977653631286,0.01977144,0.02855409,0.01671283562826943,37.75542505,37.75786636,37.74378156086652
3.1927374301675977,0.02132562,0.03011002,0.017913792486949336,37.76068917,37.75860386,37.749951070349276
3.217877094972067,0.02301245,0.03168535,0.019264133005829062,37.76548431,37.75934136,37.755551513973174
3.2430167597765367,0.024819,0.03328009,0.020748706247793895,37.76976625,37.76007885,37.76057633500638
3.2681564245810057,0.0267312,0.03489424,0.022351570039000887,37.77349243,37.76081635,37.76502421713308
3.293296089385475,0.02873387,0.03652779,0.024056058521801472,37.77662209,37.76155385,37.76889895726538
3.3184357541899443,0.03081078,0.03818075,0.025849695655320512,37.77911637,37.76229135,37.772199799606874
3.343575418994414,0.03294473,0.03985313,0.02771949676078606,37.78093848,37.76302885,37.774929442503996
3.368715083798883,0.03511754,0.0415449,0.02965053810059609,37.78205379,37.76376635,37.77709779746839
3.393854748603352,0.03731019,0.04325609,0.03162850736844954,37.78242996,37.76450385,37.77871743113852
3.4189944134078214,0.0395028,0.04498669,0.033639703689346434,37.78203706,37.76524135,37.77980356527959
3.444134078212291,0.04167477,0.04673669,0.03567103761958767,37.78084765,37.76597885,37.78037407678364
3.46927374301676,0.04380479,0.0485061,0.037710031146775236,37.77883691,37.76671634,37.78044949766947
3.494413407821229,0.04587092,0.05029492,0.03974481768981202,37.77762326,37.76708509,37.780053015082686
3.5195530726256985,0.04621568,0.05024126,0.041764142098901974,37.77518556,37.76484438,37.77921047129568
3.544692737430168,0.04821767,0.05197111,0.04375736065555008,37.77374904,37.76305658,37.77795036370761
3.569832402234637,0.05014405,0.05360687,0.04571444107256227,37.77079693,37.759481,37.776303844844456
3.594972067039106,0.05199067,0.05514853,0.04762596400225706,37.76769105,37.75590542,37.774304706047225
3.6201117318435756,0.05375358,0.0565961,0.049483929350185175,37.76444039,37.75232984,37.77197932253012
3.645251396648045,0.05542911,0.05794957,0.05128071919413453,37.76105435,37.74875426,37.76935380264216
3.670391061452514,0.05701381,0.05920896,0.05300875807892817,37.75754263,37.74517867,37.766460599457496
3.695530726256983,0.05850451,0.06037424,0.05466128876087852,37.75391527,37.74160309,37.76333113023461
